number,count
1,1056
2,1538
3,2169
4,2494
5,3103
6,3488
7,3730
8,3954
9,4015
10,4567
11,4302
12,4565
13,4298
14,3995
15,3537
16,3437
17,3541
18,3760
19,3710
20,4043
21,4337
22,4727
23,4918
24,5407
25,4526
26,4927
27,5461
28,6129
29,6030
30,5255
31,4796
32,4434
33,4151
34,4327
35,3884
36,4254
37,3807
38,3443
39,3360
40,3211
41,3019
42,3026
43,2677
44,2322
45,1966
46,1611
47,1254
48,917
49,660
50,599
51,534
52,465
53,400
54,342
55,294
56,257
57,225
58,207
59,196
60,186
61,178
62,171
63,165
64,160
65,155
66,152
67,150
68,148
69,146
70,144
71,142
72,140
73,138
74,136
75,134
76,132
77,130
78,128
79,126
80,124
81,122
82,120
83,118
84,116
85,114
86,112
87,110
88,108
89,106
90,104
91,102
92,100
93,98
94,96
95,94
96,92
97,90
98,88
99,86
100,84
101,82
102,80
103,78
104,76
105,74
106,72
107,70
108,68
109,66
110,64
111,62
112,60
113,59
114,57
115,55
116,53
117,51
118,49
119,47
120,45
121,48
122,60
123,150
124,195
125,195
126,198
127,201
128,205
129,208
130,211
131,217
132,225
133,234
134,244
135,252
136,260
137,266
138,274
139,280
140,287
141,293
142,298
143,305
144,312
145,318
146,325
147,331
148,336
149,340
150,343
151,345
152,346
153,346
154,346
155,346
156,346
157,346
158,346
159,346
160,346
161,346
162,346
163,346
164,346
165,346
166,346
167,346
168,346
169,346
170,346
171,346
172,346
173,346
174,346
175,346
176,346
177,346
178,346
179,346
180,346
181,346
182,346
183,346
184,346
185,346
186,346
187,346
188,346
189,346
190,346
191,346
192,346
193,346
194,346
195,346
196,346
197,346
198,346
199,346
200,346
201,346
202,346
203,346
204,346
205,346
206,346
207,346
208,346
209,346
210,346
211,346
212,346
213,346
214,346
215,346
216,346
217,346
218,346
219,346
220,346
221,346
222,346
223,346
224,346
225,346
226,346
227,346
228,346
229,346
230,346
231,346
232,346
233,346
234,346
235,346
236,346
237,346
238,346
239,346
240,346
241,346
242,346
243,346
244,346
245,346
246,346
247,346
248,346
249,346
250,346
251,346
252,346
253,346
254,346
255,345
256,345
257,345
258,345
259,345
260,345
261,345
262,345
263,340
264,326
265,234
266,187
267,185
268,180
269,175
270,169
271,164
272,159
273,151
274,141
275,130
276,118
277,108
278,98
279,90
280,80
281,72
282,63
283,55
284,48
285,41
286,34
287,28
288,21
289,15
290,10
291,6
292,3
293,1
